iter	Passed	Remaining
0	76	76853
1	94	47213
2	111	37099
3	130	32580
4	150	29903
5	167	27725
6	185	26301
7	203	25184
8	220	24324
9	237	23527
10	254	22875
11	271	22363
12	289	21985
13	306	21591
14	325	21353
15	342	21054
16	359	20770
17	375	20505
18	393	20325
19	411	20177
20	428	19990
21	445	19801
22	461	19624
23	478	19443
24	494	19301
25	512	19190
26	529	19065
27	547	18999
28	563	18873
29	579	18736
30	597	18663
31	614	18597
32	631	18507
33	650	18476
34	666	18380
35	685	18345
36	702	18271
37	717	18170
38	735	18129
39	754	18112
40	773	18102
41	792	18066
42	810	18032
43	827	17975
44	844	17932
45	862	17895
46	880	17853
47	897	17806
48	916	17780
49	934	17749
50	950	17695
51	969	17666
52	984	17595
53	1003	17579
54	1022	17566
55	1040	17532
56	1058	17508
57	1075	17462
58	1091	17410
59	1109	17384
60	1127	17363
61	1147	17353
62	1164	17314
63	1181	17273
64	1196	17216
65	1213	17176
66	1230	17134
67	1246	17084
68	1262	17038
69	1279	16996
70	1297	16980
71	1313	16932
72	1332	16918
73	1350	16902
74	1367	16867
75	1384	16830
76	1404	16837
77	1419	16782
78	1437	16763
79	1456	16748
80	1474	16734
81	1493	16718
82	1511	16697
83	1529	16673
84	1547	16660
85	1568	16673
86	1594	16733
87	1616	16752
88	1635	16740
89	1654	16731
90	1671	16701
91	1691	16696
92	1710	16677
93	1729	16667
94	1747	16650
95	1763	16607
96	1779	16565
97	1795	16523
98	1813	16503
99	1829	16464
100	1847	16446
101	1866	16434
102	1883	16403
103	1903	16396
104	1919	16365
105	1938	16347
106	1956	16327
107	1973	16296
108	1993	16293
109	2011	16271
110	2028	16249
111	2046	16224
112	2063	16195
113	2082	16188
114	2101	16172
115	2120	16157
116	2143	16177
117	2170	16219
118	2193	16236
119	2210	16212
120	2227	16178
121	2244	16155
122	2261	16121
123	2279	16102
124	2297	16085
125	2316	16065
126	2334	16046
127	2352	16029
128	2371	16010
129	2388	15984
130	2406	15966
131	2425	15949
132	2444	15932
133	2464	15929
134	2483	15914
135	2501	15894
136	2521	15880
137	2540	15867
138	2558	15849
139	2577	15834
140	2599	15836
141	2617	15817
142	2636	15800
143	2654	15781
144	2673	15761
145	2692	15751
146	2711	15736
147	2730	15719
148	2749	15701
149	2767	15684
150	2786	15666
151	2805	15649
152	2823	15632
153	2841	15608
154	2859	15588
155	2878	15571
156	2896	15554
157	2915	15535
158	2933	15515
159	2954	15509
160	2972	15491
161	2991	15476
